Engineer's Studio Result
*,Node,Name,ëOÊ‰-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,10,2.9505396E-001,0.0000000E+000,0.0000000E+000,-6.7358845E-005,1.6474055E+002,-1.0718913E-017,---,---,---,---,---,---,---,---,---
*,,,,Max Value,2.9505396E-001,0.0000000E+000,0.0000000E+000,1.4215961E-004,1.6474055E+002,4.7776486E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,1,1,6,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,3.4716438E-002,0.0000000E+000,0.0000000E+000,-6.7358845E-005,1.6093938E+001,4.7776486E-019,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,10,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,0.0000000E+000,8.3337341E-018,-8.0060854E-003,2.0283424E-018,-1.6272670E-023,1.5275125E-005,---,---,---,---,---,---,---,---,---
,,,,2,-5.3456582E-024,1.7917415E-017,-1.5930079E-002,2.5249677E-018,-4.0304676E-023,3.0115707E-005,---,---,---,---,---,---,---,---,---
,,,,3,-4.1374403E-023,2.9418417E-017,-2.2133784E-002,1.0502358E-018,-2.3294428E-023,3.5656874E-005,---,---,---,---,---,---,---,---,---
,,,,4,-1.0932852E-022,4.3625320E-017,-2.8202918E-002,-3.1765205E-018,8.9834473E-023,4.6582702E-005,---,---,---,---,---,---,---,---,---
,,,,5,-2.6866330E-022,6.2048515E-017,-3.2808461E-002,-1.1280771E-017,3.7121245E-022,4.4379093E-005,---,---,---,---,---,---,---,---,---
,,,,6,-5.2974865E-022,8.6842874E-017,-3.7503079E-002,-2.5302826E-017,9.5195864E-022,5.4338205E-005,---,---,---,---,---,---,---,---,---
,,,,7,-1.0703435E-021,1.2239948E-016,-4.0408242E-002,-4.8459390E-017,1.9651678E-021,3.9359369E-005,---,---,---,---,---,---,---,---,---
,,,,8,-2.0812131E-021,1.7534212E-016,-4.1368862E-002,-8.7260989E-017,3.6251102E-021,1.4922762E-005,---,---,---,---,---,---,---,---,---
,,,,9,-3.7654717E-021,2.5786256E-016,-4.1626984E-002,-1.5300687E-016,6.4005915E-021,4.4939195E-006,---,---,---,---,---,---,---,---,---
,,,,10,-6.7994076E-021,3.9548031E-016,-4.0311321E-002,-2.6674535E-016,1.0816496E-020,-2.5746876E-005,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,8.3337341E-018,-8.0060854E-003,2.0283424E-018,-1.6272670E-023,5.4338205E-005,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,6,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,8.3337341E-018,-4.1626984E-002,2.0283424E-018,-1.6272670E-023,-2.5746876E-005,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,9,1,1,10,---,---,---,---,---,---,---,---,---
*,Node,Name,ñÓî¬-039
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,3.7513006E-002,-1.8946153E-003,-5.8763430E-021,-3.1589743E-005,-2.5731780E-006,-2.5640946E-020,---,---,---,---,---,---,---,---,---
,,,,2,7.4957313E-002,-3.7742544E-003,-7.2527330E-021,-6.2284615E-005,-3.2303823E-006,-3.0068371E-020,---,---,---,---,---,---,---,---,---
,,,,3,1.0936573E-001,-5.7081727E-003,-2.8505707E-021,-7.3622400E-005,-3.5113085E-006,-3.0352051E-020,---,---,---,---,---,---,---,---,---
