Engineer's Studio Result
*,Node,Name,ëOÊ‰-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
*,,,,Max Value,1.1926699E-018,8.3270633E-018,-4.9597709E-001,-1.0858373E-018,5.3818029E-022,-3.7512801E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,1.1926699E-018,8.3270633E-018,-6.2453140E+000,-1.0858373E-018,5.3818029E-022,-7.7805199E-003,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,10,---,---,---,---,---,---,---,---,---
*,Node,Name,HçY2-008
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,1.4063779E+000,1.8099195E-002,2.3343455E-017,1.0513479E-006,4.4403568E-004,3.9402232E-021,---,---,---,---,---,---,---,---,---
,,,,2,2.8132129E+000,3.6018385E-002,5.2964423E-017,2.4377022E-006,5.1959652E-004,5.6413161E-021,---,---,---,---,---,---,---,---,---
,,,,3,4.3985879E+000,5.6887380E-002,9.1752712E-017,3.6610659E-006,1.2304717E-003,1.3733844E-020,---,---,---,---,---,---,---,---,---
,,,,4,5.9823679E+000,7.8195906E-002,1.4365220E-016,5.6088515E-006,1.1096428E-003,1.5515127E-020,---,---,---,---,---,---,---,---,---
,,,,5,7.7189258E+000,1.0150723E-001,2.1556391E-016,6.7399316E-006,2.2247938E-003,3.9209474E-020,---,---,---,---,---,---,---,---,---
,,,,6,9.4312860E+000,1.2398557E-001,3.1837578E-016,8.6507009E-006,2.2699759E-003,6.0463494E-020,---,---,---,---,---,---,---,---,---
,,,,7,1.1351939E+001,1.4696628E-001,4.7232970E-016,7.4536216E-006,5.6931994E-003,2.1069316E-019,---,---,---,---,---,---,---,---,---
,,,,8,1.3482509E+001,1.7294445E-001,7.1163991E-016,9.7870360E-006,9.2111090E-003,4.7607482E-019,---,---,---,---,---,---,---,---,---
,,,,9,1.5654148E+001,2.0026512E-001,1.0995201E-015,1.6763547E-005,8.8908504E-003,7.3434120E-019,---,---,---,---,---,---,---,---,---
,,,,10,1.8043159E+001,2.2504766E-001,1.7634567E-015,1.2204029E-005,1.8898511E-002,2.5438067E-018,---,---,---,---,---,---,---,---,---
*,,,,Max Value,1.8043159E+001,2.2504766E-001,2.3343455E-017,1.6763547E-005,1.8898511E-002,3.9402232E-021,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,10,1,9,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,1.4063779E+000,1.8099195E-002,2.3343455E-017,1.0513479E-006,4.4403568E-004,3.9402232E-021,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,1.1357842E-018,8.3270633E-018,-5.0074328E-001,-1.0956095E-018,5.4795669E-022,-3.8189596E-004,---,---,---,---,---,---,---,---,---
,,,,2,2.7833818E-018,1.7913438E-017,-1.0015494E+000,-1.2600101E-018,1.2631151E-021,-7.5106248E-004,---,---,---,---,---,---,---,---,---
,,,,3,5.1510893E-018,2.9439881E-017,-1.5637224E+000,-1.6983822E-018,2.6617087E-021,-1.3243460E-003,---,---,---,---,---,---,---,---,---
,,,,4,8.5379054E-018,4.3766516E-017,-2.1263680E+000,-2.1089040E-018,4.4999984E-021,-1.8206141E-003,---,---,---,---,---,---,---,---,---
,,,,5,1.3448826E-017,6.2498236E-017,-2.7394810E+000,-2.9996103E-018,8.2501550E-021,-2.5827913E-003,---,---,---,---,---,---,---,---,---
,,,,6,2.0698554E-017,8.8054094E-017,-3.3438245E+000,-4.0246022E-018,1.3517566E-020,-3.1286055E-003,---,---,---,---,---,---,---,---,---
,,,,7,3.1758751E-017,1.2522933E-016,-4.0088396E+000,-6.4331102E-018,2.5895193E-020,-4.1283660E-003,---,---,---,---,---,---,---,---,---
,,,,8,4.9219597E-017,1.8145901E-016,-4.7372889E+000,-1.0643575E-017,5.0608500E-020,-5.3762710E-003,---,---,---,---,---,---,---,---,---
,,,,9,7.7782426E-017,2.7075672E-016,-5.4832076E+000,-1.7275103E-017,9.5043423E-020,-6.4346301E-003,---,---,---,---,---,---,---,---,---
,,,,10,1.2678268E-016,4.2272387E-016,-6.2699726E+000,-3.0961191E-017,1.9466503E-019,-7.7576360E-003,---,---,---,---,---,---,---,---,---
*,,,,Max Value,1.1357842E-018,8.3270633E-018,-5.0074328E-001,-1.0956095E-018,5.4795669E-022,-3.8189596E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,1.1357842E-018,8.3270633E-018,-6.2699726E+000,-1.0956095E-018,5.4795669E-022,-7.7576360E-003,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,10,---,---,---,---,---,---,---,---,---
*,Node,Name,HçY2-007
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,1.5559702E+000,1.8511076E-002,2.3675327E-017,-4.9061424E-006,8.4927612E-003,9.2441497E-020,---,---,---,---,---,---,---,---,---
,,,,2,3.1124169E+000,3.6740543E-002,5.3779530E-017,-4.5330654E-006,8.5532265E-003,1.0770500E-019,---,---,---,---,---,---,---,---,---
,,,,3,4.8656298E+000,5.7888512E-002,9.3264495E-017,-4.8173601E-006,1.1427272E-002,1.5336962E-019,---,---,---,---,---,---,---,---,---
,,,,4,6.6174355E+000,7.9392234E-002,1.4616258E-016,-3.8004993E-006,1.1266778E-002,1.8866754E-019,---,---,---,---,---,---,---,---,---
,,,,5,8.5369288E+000,1.0282252E-001,2.1952396E-016,-2.8639435E-006,1.4404402E-002,2.9006114E-019,---,---,---,---,---,---,---,---,---
,,,,6,1.0429610E+001,1.2530641E-001,3.2447760E-016,-2.1649807E-006,1.4072059E-002,3.9788581E-019,---,---,---,---,---,---,---,---,---
,,,,7,1.2548167E+001,1.4815742E-001,4.8169925E-016,-1.8948917E-006,2.0393067E-002,7.7409486E-019,---,---,---,---,---,---,---,---,---
,,,,8,1.4895136E+001,1.7387009E-001,7.2616759E-016,4.9562212E-006,2.7142041E-002,1.4352109E-018,---,---,---,---,---,---,---,---,---
,,,,9,1.7288512E+001,2.0077883E-001,1.1224829E-015,1.5476461E-005,2.7532667E-002,2.2777460E-018,---,---,---,---,---,---,---,---,---
,,,,10,1.9910034E+001,2.2491469E-001,1.8008797E-015,-5.0679560E-002,4.0784642E-002,5.5612127E-018,---,---,---,---,---,---,---,---,---
*,,,,Max Value,1.9910034E+001,2.2491469E-001,2.3675327E-017,1.5476461E-005,4.0784642E-002,9.2441497E-020,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,10,1,9,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,1.5559702E+000,1.8511076E-002,2.3675327E-017,-5.0679560E-002,8.4927612E-003,9.2441497E-020,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,10,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,1.0762542E-018,8.3270633E-018,-4.9453225E-001,-1.0811769E-018,5.3381420E-022,-3.7928327E-004,---,---,---,---,---,---,---,---,---
,,,,2,2.6628168E-018,1.7914277E-017,-9.8912686E-001,-1.2435285E-018,1.2309172E-021,-7.4658654E-004,---,---,---,---,---,---,---,---,---
,,,,3,4.9653252E-018,2.9446276E-017,-1.5435901E+000,-1.6745452E-018,2.5903617E-021,-1.3143767E-003,---,---,---,---,---,---,---,---,---
,,,,4,8.2803567E-018,4.3780895E-017,-2.0988375E+000,-2.0806154E-018,4.3822027E-021,-1.8079694E-003,---,---,---,---,---,---,---,---,---
,,,,5,1.3107331E-017,6.2527103E-017,-2.7027714E+000,-2.9543614E-018,8.0168360E-021,-2.5593764E-003,---,---,---,---,---,---,---,---,---
,,,,6,2.0253503E-017,8.8097469E-017,-3.2980787E+000,-3.9630175E-018,1.3128844E-020,-3.1002135E-003,---,---,---,---,---,---,---,---,---
,,,,7,3.1173576E-017,1.2528658E-016,-3.9495677E+000,-6.2980373E-018,2.4976026E-020,-4.0671927E-003,---,---,---,---,---,---,---,---,---
,,,,8,4.8436633E-017,1.8153267E-016,-4.6605759E+000,-1.0379812E-017,4.8551253E-020,-5.2752965E-003,---,---,---,---,---,---,---,---,---
,,,,9,7.6699355E-017,2.7083620E-016,-5.3896368E+000,-1.6866126E-017,9.1197117E-020,-6.3218100E-003,---,---,---,---,---,---,---,---,---
,,,,10,1.2519637E-016,4.2271592E-016,-6.1492131E+000,-2.9830622E-017,1.8392583E-019,-7.5247816E-003,---,---,---,---,---,---,---,---,---
*,,,,Max Value,1.0762542E-018,8.3270633E-018,-4.9453225E-001,-1.0811769E-018,5.3381420E-022,-3.7928327E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,1.0762542E-018,8.3270633E-018,-6.1492131E+000,-1.0811769E-018,5.3381420E-022,-7.5247816E-003,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,10,---,---,---,---,---,---,---,---,---
*,Node,Name,HçY2-006
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,1.7017749E+000,1.8926423E-002,2.3988943E-017,-1.2316953E-005,1.7377154E-002,1.9823529E-019,---,---,---,---,---,---,---,---,---
,,,,2,3.4040451E+000,3.7475251E-002,5.4557682E-017,-1.4382346E-005,1.7406128E-002,2.2970461E-019,---,---,---,---,---,---,---,---,---
,,,,3,5.3205992E+000,5.8916190E-002,9.4719347E-017,-1.8498746E-005,2.2586947E-002,3.2028111E-019,---,---,---,---,---,---,---,---,---
,,,,4,7.2360349E+000,8.0634573E-002,1.4859405E-016,-2.0372078E-005,2.2390601E-002,3.9564559E-019,---,---,---,---,---,---,---,---,---
,,,,5,9.3333041E+000,1.0421053E-001,2.2337940E-016,-2.3139539E-005,2.7624645E-002,5.8955276E-019,---,---,---,---,---,---,---,---,---
,,,,6,1.1401225E+001,1.2673318E-001,3.3044315E-016,-2.6116855E-005,2.6859879E-002,8.0015082E-019,---,---,---,---,---,---,---,---,---
,,,,7,1.3710913E+001,1.4950074E-001,4.9088983E-016,-3.1279277E-005,3.5940009E-002,1.4425125E-018,---,---,---,---,---,---,---,---,---
,,,,8,1.6265999E+001,1.7501230E-001,7.4045629E-016,-2.9176905E-005,4.5788946E-002,2.5697190E-018,---,---,---,---,---,---,---,---,---
,,,,9,1.8872956E+001,2.0158687E-001,1.1451162E-015,-4.3579189E-001,4.8123945E-002,4.1620433E-018,---,---,---,---,---,---,---,---,---
,,,,10,2.1715293E+001,2.2518630E-001,1.8378221E-015,-2.6460669E-005,6.0643089E-002,8.9117280E-018,---,---,---,---,---,---,---,---,---
*,,,,Max Value,2.1715293E+001,2.2518630E-001,2.3988943E-017,-1.2316953E-005,6.0643089E-002,1.9823529E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,10,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,1.7017749E+000,1.8926423E-002,2.3988943E-017,-4.3579189E-001,1.7377154E-002,1.9823529E-019,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,9,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,1.0140799E-018,8.3270633E-018,-4.7509808E-001,-1.0376046E-018,4.9209364E-022,-3.6529538E-004,---,---,---,---,---,---,---,---,---
,,,,2,2.5366836E-018,1.7915159E-017,-9.5025737E-001,-1.1934968E-018,1.1352229E-021,-7.2066726E-004,---,---,---,---,---,---,---,---,---
,,,,3,4.7705503E-018,2.9452662E-017,-1.4820068E+000,-1.6048686E-018,2.3844871E-021,-1.2665503E-003,---,---,---,---,---,---,---,---,---
,,,,4,8.0096211E-018,4.3795608E-017,-2.0149034E+000,-1.9955816E-018,4.0372456E-021,-1.7440239E-003,---,---,---,---,---,---,---,---,---
,,,,5,1.2747309E-017,6.2556804E-017,-2.5931336E+000,-2.8270563E-018,7.3643458E-021,-2.4623280E-003,---,---,---,---,---,---,---,---,---
,,,,6,1.9782812E-017,8.8143715E-017,-3.1631220E+000,-3.7913479E-018,1.2053327E-020,-2.9830965E-003,---,---,---,---,---,---,---,---,---
,,,,7,3.0552658E-017,1.2534965E-016,-3.7824482E+000,-5.9797335E-018,2.2722978E-020,-3.8840959E-003,---,---,---,---,---,---,---,---,---
,,,,8,4.7603034E-017,1.8161858E-016,-4.4550709E+000,-9.8048523E-018,4.3861228E-020,-5.0113494E-003,---,---,---,---,---,---,---,---,---
,,,,9,7.5542626E-017,2.7094790E-016,-5.1460225E+000,-1.5957360E-017,8.2415668E-020,-6.0161006E-003,---,---,---,---,---,---,---,---,---
,,,,10,1.2349837E-016,4.2277963E-016,-5.8541311E+000,-2.7755646E-017,1.6292018E-019,-7.0457610E-003,---,---,---,---,---,---,---,---,---
*,,,,Max Value,1.0140799E-018,8.3270633E-018,-4.7509808E-001,-1.0376046E-018,4.9209364E-022,-3.6529538E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,1.0140799E-018,8.3270633E-018,-5.8541311E+000,-1.0376046E-018,4.9209364E-022,-7.0457610E-003,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,10,---,---,---,---,---,---,---,---,---
*,Node,Name,HçY2-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,1.8394594E+000,1.9345234E-002,2.4283510E-017,-2.1534584E-005,2.6106816E-002,3.2296371E-019,---,---,---,---,---,---,---,---,---
,,,,2,3.6794324E+000,3.8228411E-002,5.5297266E-017,-2.8973145E-005,2.6081943E-002,3.7353946E-019,---,---,---,---,---,---,---,---,---
,,,,3,5.7499168E+000,5.9987128E-002,9.6114741E-017,-4.1659974E-005,3.3409705E-002,5.1704782E-019,---,---,---,---,---,---,---,---,---
,,,,4,7.8196885E+000,8.1955941E-002,1.5094301E-016,-5.0522659E-005,3.3187460E-002,6.3972753E-019,---,---,---,---,---,---,---,---,---
,,,,5,1.0084164E+001,1.0572728E-001,2.2712537E-016,-6.4333025E-005,4.0281315E-002,9.4240969E-019,---,---,---,---,---,---,---,---,---
,,,,6,1.2316912E+001,1.2835096E-001,3.3626597E-016,-7.5898563E-005,3.9066721E-002,1.2738869E-018,---,---,---,---,---,---,---,---,---
,,,,7,1.4804868E+001,1.5111941E-001,4.9989284E-016,-1.3426283E-001,5.0449222E-002,2.2351183E-018,---,---,---,---,---,---,---,---,---
,,,,8,1.7552948E+001,1.7654416E-001,7.5449451E-016,-1.0462060E-004,6.1588188E-002,3.8556031E-018,---,---,---,---,---,---,---,---,---
,,,,9,2.0358394E+001,2.0292271E-001,1.1674041E-015,-1.0912181E-004,6.3570519E-002,6.1528115E-018,---,---,---,---,---,---,---,---,---
,,,,10,2.3402311E+001,2.2616715E-001,1.8742621E-015,-1.5991930E-004,7.2954051E-002,1.1989479E-017,---,---,---,---,---,---,---,---,---
*,,,,Max Value,2.3402311E+001,2.2616715E-001,2.4283510E-017,-2.1534584E-005,7.2954051E-002,3.2296371E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,10,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,1.8394594E+000,1.9345234E-002,2.4283510E-017,-1.3426283E-001,2.6081943E-002,3.2296371E-019,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,7,2,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,9.4926114E-019,8.3270633E-018,-4.3996663E-001,-9.5945830E-019,4.2158234E-022,-3.3800393E-004,---,---,---,---,---,---,---,---,---
,,,,2,2.4049931E-018,1.7916113E-017,-8.7999147E-001,-1.1036470E-018,9.7321458E-022,-6.6925034E-004,---,---,---,---,---,---,---,---,---
,,,,3,4.5667900E-018,2.9459018E-017,-1.3712298E+000,-1.4807766E-018,2.0385797E-021,-1.1736472E-003,---,---,---,---,---,---,---,---,---
,,,,4,7.7257473E-018,4.3810949E-017,-1.8640309E+000,-1.8431591E-018,3.4555105E-021,-1.6187350E-003,---,---,---,---,---,---,---,---,---
,,,,5,1.2368847E-017,6.2588370E-017,-2.3969701E+000,-2.6023936E-018,6.2772412E-021,-2.2773435E-003,---,---,---,---,---,---,---,---,---
,,,,6,1.9286640E-017,8.8196441E-017,-2.9223364E+000,-3.4891859E-018,1.0266778E-020,-2.7598052E-003,---,---,---,---,---,---,---,---,---
,,,,7,2.9896288E-017,1.2542747E-016,-3.4874807E+000,-5.4451895E-018,1.9112633E-020,-3.5558238E-003,---,---,---,---,---,---,---,---,---
,,,,8,4.6719352E-017,1.8173698E-016,-4.0970229E+000,-8.8699875E-018,3.6522218E-020,-4.5571756E-003,---,---,---,---,---,---,---,---,---
,,,,9,7.4313335E-017,2.7113914E-016,-4.7247851E+000,-1.4468727E-017,6.8638274E-020,-5.4840321E-003,---,---,---,---,---,---,---,---,---
,,,,10,1.2169095E-016,4.2302219E-016,-5.3566403E+000,-2.4712072E-017,1.3286503E-019,-6.3108447E-003,---,---,---,---,---,---,---,---,---
*,,,,Max Value,9.4926114E-019,8.3270633E-018,-4.3996663E-001,-9.5945830E-019,4.2158234E-022,-3.3800393E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,9.4926114E-019,8.3270633E-018,-5.3566403E+000,-9.5945830E-019,4.2158234E-022,-6.3108447E-003,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,10,---,---,---,---,---,---,---,---,---
*,Node,Name,HçY2-004
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,1.9639158E+000,1.9767511E-002,2.4558235E-017,-3.2934181E-005,3.3087657E-002,4.6817547E-019,---,---,---,---,---,---,---,---,---
,,,,2,3.9283623E+000,3.9005826E-002,5.5996685E-017,-5.0475464E-005,3.2979471E-002,5.4100912E-019,---,---,---,---,---,---,---,---,---
,,,,3,6.1375772E+000,6.1117725E-002,9.7448187E-017,-7.9268828E-005,4.1820705E-002,7.4609368E-019,---,---,---,---,---,---,---,---,---
,,,,4,8.3466175E+000,8.3388695E-002,1.5320598E-016,-1.0170530E-004,4.1590482E-002,9.2411335E-019,---,---,---,---,---,---,---,---,---
,,,,5,1.0761362E+001,1.0742755E-001,2.3075719E-016,-1.3820216E-004,4.9832253E-002,1.3533526E-018,---,---,---,---,---,---,---,---,---
,,,,6,1.3142247E+001,1.3024272E-001,3.4193989E-016,-3.8766588E-001,4.8708538E-002,1.8433502E-018,---,---,---,---,---,---,---,---,---
,,,,7,1.5788458E+001,1.5313283E-001,5.0870017E-016,-2.1607100E-004,5.9111907E-002,3.1019419E-018,---,---,---,---,---,---,---,---,---
,,,,8,1.8706657E+001,1.7863099E-001,7.6827157E-016,-2.6332871E-004,6.9211055E-002,5.1217339E-018,---,---,---,---,---,---,---,---,---
,,,,9,2.1687573E+001,2.0500687E-001,1.1893324E-015,-3.0067180E-004,7.2335938E-002,8.2660904E-018,---,---,---,---,---,---,---,---,---
,,,,10,2.4906703E+001,2.2813525E-001,1.9101800E-015,-3.8479588E-004,7.6361923E-002,1.5074074E-017,---,---,---,---,---,---,---,---,---
*,,,,Max Value,2.4906703E+001,2.2813525E-001,2.4558235E-017,-3.2934181E-005,7.6361923E-002,4.6817547E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,10,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,1.9639158E+000,1.9767511E-002,2.4558235E-017,-3.8766588E-001,3.2979471E-002,4.6817547E-019,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,6,2,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,8.8179807E-019,8.3270633E-018,-3.8644473E-001,-8.4082444E-019,3.2522023E-022,-2.9564533E-004,---,---,---,---,---,---,---,---,---
,,,,2,2.2677571E-018,1.7917176E-017,-7.7294121E-001,-9.6715400E-019,7.5163463E-022,-5.8822213E-004,---,---,---,---,---,---,---,---,---
,,,,3,4.3540718E-018,2.9465340E-017,-1.2028319E+000,-1.2929369E-018,1.5677004E-021,-1.0282275E-003,---,---,---,---,---,---,---,---,---
,,,,4,7.4287886E-018,4.3827377E-017,-1.6347535E+000,-1.6117259E-018,2.6619260E-021,-1.4215579E-003,---,---,---,---,---,---,---,---,---
,,,,5,1.1972040E-017,6.2623337E-017,-2.0994829E+000,-2.2636487E-018,4.8049262E-021,-1.9893787E-003,---,---,---,---,---,---,---,---,---
,,,,6,1.8765158E-017,8.8260762E-017,-2.5576379E+000,-3.0340758E-018,7.8509899E-021,-2.4118270E-003,---,---,---,---,---,---,---,---,---
,,,,7,2.9204782E-017,1.2553255E-016,-3.0429093E+000,-4.6635527E-018,1.4320278E-020,-3.0613559E-003,---,---,---,---,---,---,---,---,---
,,,,8,4.5786185E-017,1.8191613E-016,-3.5631910E+000,-7.5517706E-018,2.7123584E-020,-3.9001042E-003,---,---,---,---,---,---,---,---,---
,,,,9,7.3012537E-017,2.7147438E-016,-4.1006973E+000,-1.2352443E-017,5.1010870E-020,-4.7068901E-003,---,---,---,---,---,---,---,---,---
,,,,10,1.1977616E-016,4.2359555E-016,-4.6330245E+000,-2.0734772E-017,9.6737389E-020,-5.3288571E-003,---,---,---,---,---,---,---,---,---
*,,,,Max Value,8.8179807E-019,8.3270633E-018,-3.8644473E-001,-8.4082444E-019,3.2522023E-022,-2.9564533E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,8.8179807E-019,8.3270633E-018,-4.6330245E+000,-8.4082444E-019,3.2522023E-022,-5.3288571E-003,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,10,1,1,10,---,---,---,---,---,---,---,---,---
*,Node,Name,HçY2-003
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,2.0691976E+000,2.0193252E-002,2.4812325E-017,-4.6854799E-005,3.5951513E-002,6.3526795E-019,---,---,---,---,---,---,---,---,---
,,,,2,4.1389400E+000,3.9812148E-002,5.6654354E-017,-8.0741445E-005,3.5722250E-002,7.3375127E-019,---,---,---,---,---,---,---,---,---
,,,,3,6.4649498E+000,6.2321058E-002,9.8717238E-017,-1.3543530E-004,4.4754076E-002,1.0095970E-018,---,---,---,---,---,---,---,---,---
,,,,4,8.7914714E+000,8.4958567E-002,1.5537954E-016,-2.1984698E-002,4.4557818E-002,1.2523673E-018,---,---,---,---,---,---,---,---,---
,,,,5,1.1332138E+001,1.0935467E-001,2.3427032E-016,-2.4735880E-004,5.2191793E-002,1.8158664E-018,---,---,---,---,---,---,---,---,---
,,,,6,1.3837171E+001,1.3247382E-001,3.4745902E-016,-2.9987712E-004,5.0258876E-002,2.4428758E-018,---,---,---,---,---,---,---,---,---
,,,,7,1.6613668E+001,1.5563281E-001,5.1730418E-016,-3.9355683E-004,5.7478144E-002,3.9267839E-018,---,---,---,---,---,---,---,---,---
,,,,8,1.9671353E+001,1.8139454E-001,7.8177755E-016,-4.9085614E-004,6.5974600E-002,6.4043378E-018,---,---,---,---,---,---,---,---,---
,,,,9,2.2796605E+001,2.0799663E-001,1.2108882E-015,-5.7894018E-004,6.9623400E-002,1.0430082E-017,---,---,---,---,---,---,---,---,---
,,,,10,2.6157601E+001,2.3127970E-001,1.9455582E-015,-6.9643399E-004,6.9229133E-002,1.8274124E-017,---,---,---,---,---,---,---,---,---
*,,,,Max Value,2.6157601E+001,2.3127970E-001,2.4812325E-017,-4.6854799E-005,6.9623400E-002,6.3526795E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,10,1,1,9,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,2.0691976E+000,2.0193252E-002,2.4812325E-017,-2.1984698E-002,3.5722250E-002,6.3526795E-019,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,4,2,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,8.1169064E-019,8.3270633E-018,-3.1163669E-001,-6.7534722E-019,2.1232799E-022,-2.3663477E-004,---,---,---,---,---,---,---,---,---
,,,,2,2.1249883E-018,1.7918397E-017,-6.2331310E-001,-7.7667416E-019,4.9192363E-022,-4.7343504E-004,---,---,---,---,---,---,---,---,---
,,,,3,4.1324253E-018,2.9471649E-017,-9.6775287E-001,-1.0313195E-018,1.0184789E-021,-8.2267313E-004,---,---,---,---,---,---,---,---,---
,,,,4,7.1188019E-018,4.3845549E-017,-1.3147430E+000,-1.2887107E-018,1.7345343E-021,-1.1415253E-003,---,---,---,---,---,---,---,---,---
,,,,5,1.1556988E-017,6.2663864E-017,-1.6847644E+000,-1.7943600E-018,3.0865994E-021,-1.5842355E-003,---,---,---,---,---,---,---,---,---
,,,,6,1.8218547E-017,8.8343618E-017,-2.0495874E+000,-2.4035171E-018,5.0228889E-021,-1.9214587E-003,---,---,---,---,---,---,---,---,---
,,,,7,2.8478467E-017,1.2568181E-016,-2.4287247E+000,-3.6257244E-018,8.9725361E-021,-2.3954626E-003,---,---,---,---,---,---,---,---,---
,,,,8,4.4804052E-017,1.8219632E-016,-2.8340490E+000,-5.8480925E-018,1.6868173E-020,-3.0408197E-003,---,---,---,---,---,---,---,---,---
,,,,9,7.1641064E-017,2.7204379E-016,-3.2542526E+000,-9.5929424E-018,3.1738878E-020,-3.6821032E-003,---,---,---,---,---,---,---,---,---
,,,,10,1.1775545E-016,4.2470519E-016,-3.6637933E+000,-1.5817013E-017,5.8946735E-020,-4.1026957E-003,---,---,---,---,---,---,---,---,---
*,,,,Max Value,8.1169064E-019,8.3270633E-018,-3.1163669E-001,-6.7534722E-019,2.1232799E-022,-2.3663477E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
