,,ç≈ëÂê‚ëŒíl,
óvëfñº,N,SYP,MZP
HçY1-023,-1.5876085E+001,5.9514184E+000,-1.5247629E+001
HçY1-024,-1.6038630E+001,6.2948914E+000,-1.3470742E+001
HçY1-025,-1.6198557E+001,6.3926191E+000,-1.1591033E+001
HçY1-026,-1.6356710E+001,6.1477118E+000,-9.6821957E+000
HçY1-027,-1.6513840E+001,5.6718869E+000,-7.8469887E+000
HçY1-028,-1.6670458E+001,5.0558720E+000,-6.1546588E+000
HçY1-029,-1.6826889E+001,4.3709903E+000,-4.6472340E+000
HçY1-030,-1.6983315E+001,3.6712449E+000,-3.3453500E+000
HçY1-031,-1.7139811E+001,2.9956460E+000,-2.2534442E+000
HçY1-032,-1.7296400E+001,2.3706071E+000,-1.3642542E+000
HçY1-033,-1.7453072E+001,1.8122611E+000,-6.6259724E-001
HçY1-034,-1.7766512E+001,1.3286104E+000,2.6072714E-001
HçY1-035,-1.7923275E+001,9.2145139E-001,5.2762794E-001
HçY1-036,-1.8080053E+001,5.8804512E-001,6.9451332E-001
HçY1-037,-1.8236832E+001,3.2252634E-001,7.8175414E-001
HçY1-038,-1.8393600E+001,1.1705994E-001,8.0736905E-001
HçY1-039,-1.8393646E+001,-9.9920303E-002,8.0728406E-001
HçY1-040,-1.8550390E+001,-2.4572621E-001,7.8664154E-001
HçY1-041,-1.8707123E+001,-3.4729999E-001,7.2227252E-001
HçY1-042,-1.8863844E+001,-3.9068463E-001,6.2744534E-001
HçY1-043,-1.9020559E+001,-3.9290118E-001,5.1961493E-001
HçY1-044,-1.9177271E+001,-3.6810279E-001,4.1112962E-001
HçY1-045,-1.9333982E+001,-3.2753605E-001,3.1009173E-001
HçY1-046,-1.9490692E+001,-2.7972668E-001,2.2122985E-001
HçY1-047,-1.9647402E+001,-2.3079748E-001,1.4671502E-001
HçY1-048,-1.9804111E+001,-1.8484899E-001,8.6881720E-002
HçY1-049,-1.9960821E+001,-1.4435214E-001,4.0834591E-002
HçY1-050,-2.0274242E+001,-1.1051901E-001,-1.6815845E-002
HçY1-051,-2.0430952E+001,-8.3631091E-002,-3.2496843E-002
HçY1-052,-2.0587662E+001,-6.3314475E-002,-4.2083275E-002
HçY1-053,-2.0744373E+001,-4.8759528E-002,-4.7303945E-002
HçY1-054,-2.0901083E+001,-3.8887601E-002,-4.9563948E-002
HçY1-055,-2.1057793E+001,-3.2471232E-002,-4.9900044E-002
HçY1-056,-2.1057793E+001,3.4467783E-002,-4.9898431E-002
HçY1-057,-2.1214504E+001,3.7867546E-002,-4.8960138E-002
HçY1-058,-2.1371214E+001,4.1694414E-002,-4.7002915E-002
HçY1-059,-2.1527925E+001,4.7176749E-002,-4.3898575E-002
HçY1-060,-2.1684635E+001,5.5456061E-002,-3.9150387E-002
HçY1-061,-2.1841345E+001,6.7540631E-002,-3.1919125E-002
